"","date","hour","TemperatureF","KwH"
"135",2016-10-06,15,64,304.832772654488
"136",2016-10-06,16,64,302.986698756991
"137",2016-10-06,17,63,298.793920267377
"138",2016-10-06,18,61,289.090998781506
"139",2016-10-06,19,61,284.10857277898
"140",2016-10-06,20,60.1,152.108605395057
"141",2016-10-06,21,59,148.476151474273
"142",2016-10-06,22,57,141.57613191834
"143",2016-10-06,23,55.9,137.110085301415
"144",2016-10-07,0,54,103.085382456955
"145",2016-10-07,1,55.9,111.753801884328
"146",2016-10-07,2,54,104.241111388779
"147",2016-10-07,3,57,114.104676052342
"148",2016-10-07,4,54,103.750674965532
"149",2016-10-07,5,54,105.514482322654
"150",2016-10-07,6,54,104.706086062733
"151",2016-10-07,7,57,242.466569916038
"152",2016-10-07,8,60.1,248.240241798181
"153",2016-10-07,9,64,254.39773460351
"154",2016-10-07,10,64.9,254.689103137753
"155",2016-10-07,11,66,255.501274927291
"156",2016-10-07,13,66.9,253.651865284207
"157",2016-10-07,14,66,248.711457287073
"158",2016-10-07,15,64.9,243.09426742953
"159",2016-10-07,16,64.9,240.027450990231
"160",2016-10-07,17,63,232.718845436117
"161",2016-10-07,18,63,233.148444648396
"162",2016-10-07,19,63,233.470171591882
"163",2016-10-07,20,62.1,99.5718475751303
"164",2016-10-07,21,60.1,91.634150381621
"165",2016-10-07,22,59,87.7976115194014
"166",2016-10-07,23,59,89.5133125402019
"167",2016-10-08,0,57.9,129.964778439093
"168",2016-10-08,1,55.9,122.656589000289
"169",2016-10-08,2,54,116.478106649583
"170",2016-10-08,3,54,115.057455565355
"171",2016-10-08,4,54,115.487054777634
"172",2016-10-08,5,52,107.162207738463
"173",2016-10-08,6,53.1,110.44495814986
"174",2016-10-08,7,53.1,240.242650503773
"175",2016-10-08,8,55.9,243.367986228514
"176",2016-10-08,9,57.9,245.106691276705
"177",2016-10-08,10,59,245.193142638894
"178",2016-10-08,11,63,255.547568263818
"179",2016-10-08,12,64,257.172728827596
"180",2016-10-08,13,64,255.122569988663
"181",2016-10-08,14,63.5,248.956958321365
"182",2016-10-08,15,64.9,249.588086455526
"183",2016-10-08,16,65.9,249.621017798628
"184",2016-10-08,17,66.9,251.096029555367
"185",2016-10-08,18,66.9,250.08354835401
"186",2016-10-08,19,66.45,247.445910800278
"187",2016-10-08,20,66,113.52657778083
"188",2016-10-08,21,64.9,109.060531163905
"189",2016-10-08,22,64.9,107.639880079677
"190",2016-10-08,23,64,101.526835877062
"191",2016-10-09,0,63,99.2937702887025
"192",2016-10-09,1,63.95,100.378130476592
"193",2016-10-09,2,64,100.193564265211
"194",2016-10-09,3,64,100.740451639462
"195",2016-10-09,4,63,95.4614162482969
"196",2016-10-09,5,63,94.4489350469402
"197",2016-10-09,6,62,95.945644029214
"198",2016-10-09,7,59,231.881533707497
"199",2016-10-09,8,57,227.951242811019
"200",2016-10-09,9,57,223.507491033211
"201",2016-10-09,10,55,217.621704362966
"202",2016-10-09,11,55,216.201053278737
"203",2016-10-09,12,54,217.58047409904
"204",2016-10-09,13,54,213.43504587605
"205",2016-10-09,14,53.1,213.285872310069
"206",2016-10-09,15,52.55,212.005119137098
"207",2016-10-09,16,52,205.979621392843
"208",2016-10-09,17,51.4,205.91363537274
"209",2016-10-09,18,51.1,201.933696482133
"210",2016-10-09,19,50.55,202.789609297631
"211",2016-10-09,20,50,69.7657535638022
"212",2016-10-09,21,50,57.175151872122
"213",2016-10-09,22,50,58.654088318127
"214",2016-10-09,23,50,57.4375221753345
"215",2016-10-10,0,48.9,103.487845300069
"216",2016-10-10,1,46.9,100.494237506022
"217",2016-10-10,2,46,100.228474700196
"218",2016-10-10,3,45,97.3003050542405
"219",2016-10-10,4,45,97.1214165490246
"220",2016-10-10,5,45,96.108935347668
"221",2016-10-10,6,45,96.99481077914
"222",2016-10-10,7,46,230.718006574377
"223",2016-10-10,8,48,235.614083764806
"224",2016-10-10,9,50,238.863995600164
"225",2016-10-10,10,52,241.705737552651
"226",2016-10-10,11,54,244.751564446574
"227",2016-10-10,12,55.9,247.389637572934
"228",2016-10-10,13,57,247.502702306582
"229",2016-10-10,14,57.9,247.503133667808
"230",2016-10-10,15,57.9,246.694737407887
"231",2016-10-10,16,57.9,246.515848902671
"232",2016-10-10,17,55,242.061059468126
"233",2016-10-10,18,53.1,237.785173784714
"234",2016-10-10,19,52,235.152124533899
"235",2016-10-10,20,50,99.6332324676877
"236",2016-10-10,21,48.9,96.1665905207313
"237",2016-10-10,22,48,93.9581318525666
"238",2016-10-10,23,46.9,89.9002551185133
"239",2016-10-11,0,46,132.387971094331
"240",2016-10-11,1,45,129.346335845335
"241",2016-10-11,2,45,128.333854643978
"242",2016-10-11,3,44.1,125.291803279672
"243",2016-10-11,4,44.1,124.483407019751
"244",2016-10-11,5,44.1,123.675010759831
"245",2016-10-11,6,44.1,122.458444617038
"246",2016-10-11,7,45,254.331806231077
"247",2016-10-11,8,48.9,262.453014935954
"248",2016-10-11,9,54,270.56923025712
"249",2016-10-11,10,55.9,273.341789023731
"250",2016-10-11,11,59,275.479846651926
"251",2016-10-11,12,57.9,272.191149202599
"252",2016-10-11,13,57.9,271.42237921007
"253",2016-10-11,14,57.9,270.179199695819
"254",2016-10-11,15,57.9,268.333125798321
"255",2016-10-11,16,57.9,267.611581769982
"256",2016-10-11,17,55.9,259.226088426209
"257",2016-10-11,18,55,257.314160265311
"258",2016-10-11,19,54,252.104724175331
"259",2016-10-11,20,52,115.161004625882
"260",2016-10-11,21,52,115.278646627933
"261",2016-10-11,22,51.1,113.792141280304
"262",2016-10-11,23,52,114.922695844937
"263",2016-10-12,0,48.9,150.389815386578
"264",2016-10-12,1,48.9,145.875325199394
"265",2016-10-12,2,48.9,144.454674115166
"266",2016-10-12,3,48.9,140.053649531023
"267",2016-10-12,4,48.9,137.190918033159
"268",2016-10-12,5,48.9,137.824602186874
"269",2016-10-12,6,48.9,134.96187068901
"270",2016-10-12,7,51.1,269.627604327369
"271",2016-10-12,8,54,276.532231643537
"272",2016-10-12,9,55.9,279.761539556994
"273",2016-10-12,10,59,285.127041556265
"274",2016-10-12,11,60.1,286.547701063298
"275",2016-10-12,12,61,284.784734359599
"276",2016-10-12,13,62.1,287.152452165813
"277",2016-10-12,14,62.1,285.731801081585
"278",2016-10-12,15,61,278.780403079199
"279",2016-10-12,16,62.1,278.237346686684
"280",2016-10-12,17,60.1,270.520987365008
"281",2016-10-12,18,59,269.443484130869
"282",2016-10-12,19,57,261.931209750629
"283",2016-10-12,20,55.9,131.110304137054
"284",2016-10-12,21,54,121.633897741956
"285",2016-10-12,22,53.1,114.816153149203
"286",2016-10-12,23,53.1,113.191417123539
"287",2016-10-13,0,52,152.8303103635
"288",2016-10-13,1,52,151.0014893964
"289",2016-10-13,2,52,149.376753370736
"290",2016-10-13,3,54,153.418217827815
"291",2016-10-13,4,55,153.709170246749
"292",2016-10-13,5,55,152.288519162521
"293",2016-10-13,6,55,151.071953019728
"294",2016-10-13,7,55.9,282.33305980946
"295",2016-10-13,8,57.9,285.513845271286
"296",2016-10-13,9,63,294.491212515356
"297",2016-10-13,10,64.9,298.754430959577
"298",2016-10-13,11,66.45,303.19890111683
"299",2016-10-13,12,69.1,308.04319678174
"300",2016-10-13,13,71.1,310.272683909919
"301",2016-10-13,14,71.1,309.750984788551
"302",2016-10-13,15,70,306.823231257905
"303",2016-10-13,16,69.1,304.206602706869
"304",2016-10-13,17,68,301.552533418843
"305",2016-10-13,18,64.9,289.557023126736
"306",2016-10-13,19,64,286.719056703866
"307",2016-10-13,20,63,153.229318685295
"308",2016-10-13,21,61,149.465651234391
"309",2016-10-13,22,60.1,146.945235355998
"310",2016-10-13,23,57.9,143.026421530598
"311",2016-10-14,0,55,114.831668271156
"312",2016-10-14,1,52,113.01438490803
"313",2016-10-14,2,50,108.686568969141
"314",2016-10-14,3,48.9,105.036862117959
"315",2016-10-14,4,48,103.689082445046
"316",2016-10-14,5,46.9,102.003091493413
"317",2016-10-14,6,46,99.998717766684
"318",2016-10-14,7,46.9,232.909757018299
"319",2016-10-14,8,48,234.942671349639
"320",2016-10-14,9,50,238.192583184997
"321",2016-10-14,10,52,240.221752478553
"322",2016-10-14,11,55,244.463140723975
"323",2016-10-14,12,55.9,244.480825015598
"324",2016-10-14,13,57.9,246.101824426283
"325",2016-10-14,14,59,246.214889159931
"326",2016-10-14,15,59,244.29921596125
"327",2016-10-14,16,55,234.974986624481
"328",2016-10-14,17,53.1,230.533288967241
"329",2016-10-14,18,52,227.066647020284
"330",2016-10-14,19,52,224.719957674085
"331",2016-10-14,20,53.1,97.5693780795083
"332",2016-10-14,21,52,97.1694889363963
"333",2016-10-14,22,48.9,90.4953845206996
"334",2016-10-14,23,48,87.8843493039119
